first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
David,Aardsma,P,2.33150443837,aardsda01,1,0,35,-4.7,-0.42391304347826086,1,25.0,14.0,92.0,1.0,3.0,1.0,33.0,0.0,0.0,0.0,16.0,6.0,1.0,0.0,129.0,9.0,17.0,34,11,220,75
Nathan,Adcock,P,0.993529893509,adcocna01,1,0,13,-6.0,-0.5,1,15.0,12.0,54.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,83.0,4.0,12.0,27,4,235,76
Jeremy,Affeldt,P,1.54667319591,affelje01,2,0,21,-5.86,-0.5377358490566038,1,43.0,14.0,106.0,2.0,2.0,2.0,52.0,0.0,0.0,0.0,23.0,6.0,1.0,0.0,163.0,7.0,24.0,36,13,225,76
Dario,Alvarez,P,0.443572946081,alvarda01,1,0,2,-12.27,-0.5454545454545454,1,5.0,1.0,11.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,19.0,0.0,5.0,26,1,170,73
Henderson,Alvarez,P,0.695226548037,alvarhe01,0,0,9,-6.45,-0.5223880597014925,1,28.0,7.0,67.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,16.0,1.0,3.0,1.0,102.0,0.0,18.0,25,4,205,72
Alexi,Amarista,OF,0.0,amarial01,0,0,0,-0.0,-0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26,4,160,66
Brett,Anderson,P,7.87370611462,anderbr04,10,0,116,-3.69,-0.4436229205175601,1,194.0,46.0,541.0,2.0,2.0,9.0,31.0,31.0,1.0,0.0,74.0,18.0,4.0,2.0,750.0,0.0,82.0,27,6,240,75
Chase,Anderson,P,7.33804292767,anderch01,6,0,111,-4.3,-0.43231441048034935,1,158.0,40.0,458.0,7.0,2.0,6.0,27.0,27.0,0.0,0.0,73.0,18.0,3.0,0.0,640.0,0.0,75.0,28,1,194,73
Elvis,Araujo,P,2.30103859714,araujel01,2,0,34,-3.38,-0.46153846153846156,1,29.0,19.0,104.0,0.0,1.0,1.0,40.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,151.0,5.0,17.0,24,0,270,79
Jake,Arrieta,P,15.9959879615,arrieja01,22,0,236,-1.77,-0.28820960698689957,1,150.0,48.0,687.0,6.0,2.0,6.0,33.0,33.0,4.0,3.0,45.0,10.0,6.0,0.0,870.0,0.0,52.0,29,5,225,76
Alec,Asher,P,1.1902805969,asheral01,0,0,16,-9.31,-0.5977011494252874,1,42.0,10.0,87.0,1.0,0.0,6.0,7.0,7.0,0.0,0.0,30.0,8.0,2.0,2.0,138.0,0.0,30.0,24,0,230,76
Phillippe,Aumont,P,0.472132607727,aumonph01,0,0,3,-13.5,-1.0,1,5.0,7.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,23.0,0.0,6.0,26,3,240,79
Luis,Avilan,P,2.11906888132,avilalu01,2,0,31,-3.58,-0.39823008849557523,1,35.0,10.0,113.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0,15.0,4.0,1.0,1.0,154.0,7.0,15.0,26,3,220,74
Luis,Avilan,P,1.22673344976,avilalu01,0,0,18,-5.17,-0.3829787234042553,1,13.0,5.0,47.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,66.0,2.0,9.0,26,3,220,74
Dylan,Axelrod,P,0.899435025644,axelrdy01,0,0,12,-7.3,-0.5135135135135135,1,11.0,8.0,37.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,59.0,3.0,13.0,30,4,185,72
John,Axford,P,36.7617337626,axforjo01,4,25,62,-4.2,-0.5269461077844312,1,56.0,32.0,167.0,0.0,4.0,5.0,60.0,0.0,0.0,0.0,26.0,4.0,1.0,0.0,250.0,43.0,27.0,32,6,220,77
Burke,Badenhop,P,2.43682458599,badenbu01,2,0,36,-3.93,-0.457286432160804,1,71.0,20.0,199.0,0.0,4.0,4.0,68.0,0.0,0.0,0.0,29.0,4.0,0.0,0.0,285.0,17.0,30.0,32,7,210,77
Pedro,Baez,P,4.03330571338,baezpe01,4,0,60,-3.35,-0.3790849673202614,1,47.0,11.0,153.0,1.0,1.0,2.0,52.0,0.0,0.0,0.0,19.0,4.0,1.0,1.0,208.0,8.0,22.0,27,1,230,72
Homer,Bailey,P,0.303965209059,baileho02,0,0,3,-5.56,-0.5882352941176471,1,16.0,4.0,34.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,51.0,0.0,7.0,29,8,225,76
Scott,Baker,P,0.617908554567,bakersc02,0,0,8,-5.73,-0.42424242424242425,1,11.0,3.0,33.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,4.0,1.0,0.0,45.0,0.0,7.0,34,10,215,76
Collin,Balester,P,1.02466416001,balesco01,1,0,13,-7.47,-0.6382978723404256,1,17.0,13.0,47.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,13.0,3.0,1.0,0.0,77.0,5.0,13.0,29,7,190,76
Manny,Banuelos,P,1.34751483177,banuema01,1,0,19,-5.13,-0.5316455696202531,1,30.0,12.0,79.0,3.0,0.0,4.0,7.0,6.0,0.0,0.0,15.0,4.0,1.0,0.0,121.0,0.0,17.0,24,0,205,70
Kyle,Barraclough,P,2.03603234911,barraky01,2,0,30,-2.59,-0.410958904109589,1,12.0,18.0,73.0,0.0,2.0,1.0,25.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,98.0,5.0,8.0,25,0,225,75
Aaron,Barrett,P,2.4485064933,barreaa01,3,0,35,-4.6,-0.3977272727272727,1,28.0,7.0,88.0,3.0,0.0,3.0,40.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,123.0,8.0,15.0,27,1,225,75
Yhonathan,Barrios,P,0.434479897705,barriyh01,0,0,7,-0.0,-0.15,1,3.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,24,0,200,70
Antonio,Bastardo,P,5.57719494972,bastaan01,4,1,64,-2.98,-0.37790697674418605,1,39.0,26.0,172.0,3.0,2.0,1.0,66.0,0.0,0.0,0.0,19.0,4.0,8.0,0.0,239.0,18.0,19.0,30,6,205,71
Brandon,Beachy,P,0.477239396355,beachbr01,0,0,5,-7.88,-0.6666666666666666,1,10.0,6.0,24.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,39.0,0.0,7.0,29,5,215,74
Dallas,Beeler,P,0.640347292548,beeleda01,0,0,7,-9.72,-0.84,1,14.0,7.0,25.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,46.0,0.0,11.0,26,1,210,77
Matt,Belisle,P,1.66782393076,belisma01,1,0,25,-2.67,-0.48514851485148514,1,34.0,15.0,101.0,3.0,2.0,1.0,34.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,149.0,10.0,10.0,35,12,225,76
Joaquin,Benoit,P,6.92414289548,benoijo01,6,2,63,-2.34,-0.3010204081632653,1,36.0,23.0,196.0,2.0,1.0,5.0,67.0,0.0,0.0,0.0,17.0,7.0,2.0,0.0,254.0,11.0,17.0,38,14,250,76
Christian,Bergman,P,2.57560877517,bergmch01,3,0,37,-4.74,-0.47317073170731705,1,82.0,15.0,205.0,0.0,1.0,1.0,30.0,4.0,0.0,0.0,36.0,8.0,4.0,0.0,286.0,6.0,36.0,27,1,195,73
Rafael,Betancourt,P,4.03620482794,betanra01,2,1,40,-6.18,-0.4661016949152542,1,43.0,12.0,118.0,0.0,4.0,4.0,45.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,175.0,9.0,29.0,40,12,215,74
Chad,Bettis,P,6.64878913719,bettich01,8,0,98,-4.23,-0.46956521739130436,1,120.0,42.0,345.0,3.0,2.0,6.0,20.0,20.0,0.0,0.0,54.0,11.0,6.0,0.0,502.0,0.0,56.0,26,2,200,73
Chad,Billingsley,P,1.17383825956,billich01,2,0,15,-5.84,-0.5495495495495496,1,53.0,8.0,111.0,1.0,0.0,3.0,7.0,7.0,0.0,0.0,24.0,5.0,2.0,0.0,165.0,0.0,26.0,31,9,240,73
Joe,Blanton,P,2.75172604021,blantjo01,5,0,39,-1.57,-0.33980582524271846,1,26.0,9.0,103.0,1.0,4.0,0.0,21.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,137.0,7.0,7.0,35,11,215,75
Michael,Blazek,P,3.26648909962,blazemi01,5,0,47,-2.43,-0.3473053892215569,1,40.0,18.0,167.0,1.0,1.0,3.0,45.0,0.0,0.0,0.0,15.0,3.0,3.0,0.0,222.0,17.0,17.0,26,2,205,72
Jerry,Blevins,P,0.307834243381,blevije01,1,0,4,-0.0,-0.0,1,0.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,32,8,190,78
Brett,Bochy,P,0.186205670445,bochybr02,0,0,3,-0.0,-0.2222222222222222,1,1.0,1.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,28,1,200,74
Mike,Bolsinger,P,6.51674944334,bolsimi01,6,0,98,-3.62,-0.45426829268292684,1,104.0,45.0,328.0,1.0,3.0,6.0,21.0,21.0,0.0,0.0,44.0,11.0,6.0,1.0,466.0,0.0,49.0,27,1,215,73
Silvino,Bracho,P,2.38953945977,brachsi01,0,1,17,-1.46,-0.35135135135135137,1,9.0,4.0,37.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,50.0,3.0,2.0,23,0,190,70
Archie,Bradley,P,1.66953952315,bradlar01,2,0,23,-5.8,-0.5420560747663551,1,36.0,22.0,107.0,2.0,1.0,3.0,8.0,8.0,0.0,0.0,23.0,3.0,0.0,0.0,161.0,0.0,23.0,23,0,230,76
Jake,Brigham,P,0.927815921641,brighja01,0,0,12,-8.64,-0.72,1,28.0,8.0,50.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,16.0,1.0,2.0,0.0,84.0,4.0,16.0,27,0,210,75
Mike,Broadway,P,0.916814261151,broadmi01,0,0,13,-5.19,-0.5192307692307693,1,20.0,7.0,52.0,1.0,1.0,2.0,21.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,77.0,5.0,10.0,28,0,215,77
Rex,Brothers,P,0.406755605446,brothre01,1,0,5,-1.74,-0.5483870967741935,1,9.0,8.0,31.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,46.0,1.0,2.0,28,4,210,72
Brooks,Brown,P,1.4049238385,brownbr02,1,0,20,-4.91,-0.48484848484848486,1,32.0,16.0,99.0,1.0,0.0,3.0,36.0,0.0,0.0,0.0,18.0,2.0,2.0,0.0,147.0,7.0,18.0,30,1,205,75
Jonathan,Broxton,P,2.48084548203,broxtjo01,1,0,37,-5.89,-0.4636363636363636,1,41.0,10.0,110.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,156.0,10.0,24.0,31,10,305,76
Jonathan,Broxton,P,1.84880072209,broxtjo01,3,0,26,-2.66,-0.4507042253521127,1,20.0,12.0,71.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,101.0,5.0,8.0,31,10,305,76
David,Buchanan,P,2.9981831463,buchada01,2,0,44,-6.99,-0.6160714285714286,1,109.0,29.0,224.0,3.0,1.0,9.0,15.0,15.0,0.0,0.0,58.0,12.0,2.0,0.0,351.0,0.0,60.0,26,1,200,75
Madison,Bumgarner,P,15.6581793202,bumgama01,18,0,234,-2.93,-0.33587786259541985,1,181.0,39.0,655.0,7.0,2.0,9.0,32.0,32.0,4.0,2.0,71.0,21.0,1.0,0.0,869.0,0.0,73.0,26,6,235,77
Danny,Burawa,P,0.697991740082,burawda01,0,0,10,-3.65,-0.32432432432432434,1,8.0,4.0,37.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,48.0,4.0,5.0,27,0,210,74
Enrique,Burgos,P,5.24560633883,burgoen02,2,2,39,-4.67,-0.5185185185185185,1,27.0,15.0,81.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,14.0,2.0,6.0,0.0,121.0,8.0,15.0,25,0,250,75
A. J.,Burnett,P,9.4791954482,burneaj01,9,0,143,-3.18,-0.4532520325203252,1,174.0,49.0,492.0,11.0,2.0,7.0,26.0,26.0,0.0,0.0,58.0,11.0,6.0,1.0,699.0,0.0,64.0,38,16,230,76
Eddie,Butler,P,3.0346572097,butleed01,3,0,44,-5.9,-0.6050420168067226,1,102.0,42.0,238.0,4.0,4.0,10.0,16.0,16.0,1.0,0.0,52.0,13.0,0.0,0.0,370.0,0.0,57.0,24,1,180,74
Trevor,Cahill,P,1.02823168936,cahiltr01,0,0,14,-7.52,-0.5949367088607594,1,36.0,11.0,79.0,1.0,1.0,3.0,15.0,3.0,0.0,0.0,22.0,2.0,1.0,0.0,124.0,6.0,23.0,27,6,240,76
Trevor,Cahill,P,1.46996938509,cahiltr01,1,0,22,-2.12,-0.2549019607843137,1,8.0,5.0,51.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,63.0,0.0,4.0,27,6,240,76
Matt,Cain,P,2.78656174809,cainma01,2,0,41,-5.79,-0.5,1,71.0,20.0,182.0,4.0,0.0,4.0,13.0,11.0,0.0,0.0,39.0,12.0,1.0,0.0,271.0,0.0,39.0,31,10,230,75
Arquimedes,Caminero,P,4.90547550684,caminar01,5,0,73,-3.62,-0.4107142857142857,1,63.0,29.0,224.0,6.0,2.0,1.0,73.0,0.0,0.0,0.0,30.0,7.0,6.0,1.0,318.0,19.0,31.0,28,2,245,76
Leonel,Campos,P,0.252686515003,campole01,0,0,1,-9.0,-0.6666666666666666,1,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,28,1,200,74
Carter,Capps,P,3.68410484823,cappsca01,1,0,58,-1.16,-0.26881720430107525,1,18.0,7.0,93.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,118.0,8.0,5.0,25,3,220,77
Buddy,Carlyle,P,1.85466500488,carlybu01,1,1,6,-5.63,-0.375,1,8.0,1.0,24.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,32.0,1.0,5.0,38,16,210,75
David,Carpenter,P,0.280043886958,carpeda01,0,0,4,-1.5,-0.3888888888888889,1,5.0,2.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0,3.0,1.0,30,4,230,74
David,Carpenter,P,0.466225914327,carpeda02,0,0,5,-7.36,-0.5454545454545454,1,6.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,17.0,1.0,3.0,28,3,180,75
Andrew,Cashner,P,10.6905921866,cashnan01,6,0,165,-4.34,-0.48014440433212996,1,200.0,66.0,554.0,6.0,2.0,16.0,31.0,31.0,0.0,0.0,89.0,19.0,3.0,0.0,804.0,0.0,111.0,29,5,225,77
Miguel,Castro,P,0.586962442717,castrmi01,0,0,6,-10.13,-0.625,1,6.0,4.0,16.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,26.0,3.0,6.0,21,0,190,77
Simon,Castro,P,0.806933659683,castrsi01,2,0,9,-6.1,-0.5161290322580645,1,11.0,5.0,31.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,47.0,2.0,7.0,27,2,230,77
Xavier,Cedeno,P,0.375352866052,cedenxa01,0,0,4,-6.0,-0.5555555555555556,1,3.0,2.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,15.0,1.0,2.0,29,4,215,72
Jhoulys,Chacin,P,1.49414735854,chacijh01,2,0,21,-3.38,-0.425,1,24.0,10.0,80.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,10.0,4.0,0.0,0.0,111.0,0.0,11.0,27,6,215,75
Andrew,Chafin,P,6.5631356,chafian01,5,2,58,-2.76,-0.38222222222222224,1,56.0,30.0,225.0,1.0,6.0,1.0,66.0,0.0,0.0,0.0,23.0,3.0,2.0,0.0,306.0,6.0,23.0,25,1,225,74
Aroldis,Chapman,P,50.4866160147,chapmar01,4,33,116,-1.63,-0.38190954773869346,1,43.0,33.0,199.0,5.0,1.0,4.0,65.0,0.0,0.0,0.0,12.0,3.0,7.0,0.0,278.0,54.0,13.0,27,5,215,76
Randy,Choate,P,2.81217989506,choatra01,1,1,22,-3.95,-0.4146341463414634,1,29.0,5.0,82.0,6.0,0.0,0.0,71.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,117.0,4.0,14.0,40,15,205,73
Tony,Cingrani,P,2.54076302945,cingrto01,0,0,39,-5.67,-0.56,1,31.0,25.0,100.0,3.0,3.0,3.0,35.0,1.0,0.0,0.0,21.0,3.0,2.0,1.0,155.0,7.0,21.0,26,3,210,76
Steve,Cishek,P,5.86270317757,cishest01,2,3,28,-4.5,-0.53125,1,37.0,14.0,96.0,0.0,3.0,6.0,32.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,144.0,15.0,19.0,29,5,215,78
Steve,Cishek,P,2.59374793737,cishest01,0,1,20,-2.31,-0.44285714285714284,1,18.0,13.0,70.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,99.0,8.0,7.0,29,5,215,78
Tyler,Clippard,P,4.52373569773,clippty01,4,2,26,-3.06,-0.35051546391752575,1,24.0,10.0,97.0,2.0,1.0,1.0,32.0,0.0,0.0,0.0,11.0,5.0,5.0,0.0,134.0,6.0,13.0,30,8,200,75
Phil,Coke,P,0.692049582067,cokeph01,0,0,9,-6.3,-0.5666666666666667,1,14.0,3.0,30.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,45.0,2.0,7.0,33,7,210,73
A. J.,Cole,P,1.98469942291,coleaj01,0,1,9,-5.79,-0.5357142857142857,1,14.0,1.0,28.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,44.0,1.0,11.0,23,0,200,77
Gerrit,Cole,P,13.7245561931,colege01,19,0,202,-2.6,-0.36378205128205127,1,183.0,44.0,624.0,10.0,1.0,8.0,32.0,32.0,0.0,0.0,60.0,11.0,7.0,0.0,832.0,0.0,71.0,25,2,230,76
Josh,Collmenter,P,5.53228200914,collmjo01,4,1,63,-3.79,-0.4214876033057851,1,129.0,24.0,363.0,1.0,2.0,6.0,44.0,12.0,1.0,1.0,51.0,18.0,1.0,0.0,499.0,19.0,53.0,29,4,235,76
Bartolo,Colon,P,9.36327180877,colonba01,14,0,136,-4.16,-0.4126712328767123,1,217.0,24.0,584.0,4.0,5.0,13.0,33.0,31.0,1.0,1.0,90.0,25.0,0.0,0.0,815.0,1.0,94.0,42,18,285,71
Adam,Conley,P,3.97992086355,conlead01,4,0,59,-3.76,-0.42786069651741293,1,65.0,21.0,201.0,3.0,1.0,1.0,15.0,11.0,0.0,0.0,28.0,7.0,0.0,0.0,281.0,1.0,28.0,25,0,185,75
Carlos,Contreras,P,1.28138908598,contrca01,0,0,19,-4.82,-0.5,1,22.0,20.0,84.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,15.0,3.0,3.0,0.0,125.0,8.0,16.0,24,1,215,71
Tim,Cooney,P,1.92647624685,cooneti01,1,0,29,-3.16,-0.40425531914893614,1,28.0,10.0,94.0,1.0,2.0,0.0,6.0,6.0,0.0,0.0,11.0,3.0,1.0,0.0,130.0,0.0,12.0,25,0,195,75
Patrick,Corbin,P,5.27495471158,corbipa01,6,0,78,-3.6,-0.4235294117647059,1,91.0,17.0,255.0,2.0,0.0,5.0,16.0,16.0,0.0,0.0,34.0,9.0,4.0,0.0,357.0,0.0,34.0,26,3,210,75
Erik,Cordier,P,0.558169772796,cordier01,0,0,7,-5.84,-0.5135135135135135,1,13.0,6.0,37.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,56.0,0.0,8.0,29,1,215,76
John,Cornely,P,0.824540389567,cornejo01,0,0,1,-36.0,-1.3333333333333333,1,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,1.0,4.0,26,0,205,73
Kevin,Correia,P,1.00789910716,correke01,0,0,14,-6.56,-0.6428571428571429,1,37.0,8.0,70.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,17.0,4.0,0.0,0.0,114.0,0.0,23.0,35,12,200,75
Jarred,Cosart,P,3.13207477711,cosarja01,2,0,47,-4.52,-0.45933014354066987,1,63.0,33.0,209.0,1.0,1.0,5.0,14.0,13.0,0.0,0.0,35.0,10.0,7.0,0.0,296.0,0.0,35.0,25,2,195,75
Neal,Cotts,P,3.16996536047,cottsne01,1,0,49,-3.26,-0.40939597315436244,1,44.0,17.0,149.0,3.0,2.0,0.0,51.0,0.0,0.0,0.0,18.0,9.0,2.0,0.0,209.0,9.0,18.0,35,12,200,74
Daniel,Coulombe,P,0.594598982583,couloda01,0,0,7,-7.56,-0.6,1,9.0,6.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,40.0,3.0,7.0,26,1,190,70
Tyler,Cravy,P,2.29312419538,cravyty01,0,0,35,-5.7,-0.5390625,1,47.0,22.0,128.0,2.0,1.0,8.0,14.0,7.0,0.0,0.0,27.0,5.0,0.0,0.0,193.0,1.0,30.0,26,0,210,74
