first,last,pos,value,id,OBP,SLG,R,HR,RBI,SB,G,AB,H,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,years played,weight,height
Antonio,Bastardo,P,-31.6301082871,bastaan01,0.0,0.0,0,0,0,0,66,2,0,0,0,0,0,2,0,0,0,0,0,30,6,205,71
Mike,Baxter,OF,-28.0604863628,baxtemi01,0.3484848484848485,0.2631578947368421,6,0,2,0,34,57,14,1,0,0,7,14,1,2,0,0,3,31,5,205,72
Brandon,Beachy,P,-31.6301082871,beachbr01,0.0,0.0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,29,5,215,74
Dallas,Beeler,P,-31.6254929952,beeleda01,0.3333333333333333,0.6666666666666666,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,0,0,26,1,210,77
Brandon,Belt,OF,22.8268868661,beltbr01,0.35611510791366907,0.47764227642276424,73,18,68,9,137,492,138,33,5,3,56,147,2,4,0,4,3,27,4,220,77
Christian,Bergman,P,-31.0340302272,bergmch01,0.23076923076923078,0.16666666666666666,1,0,0,0,30,12,2,0,0,0,1,4,0,0,2,0,0,27,1,195,73
Quintin,Berry,OF,-31.0355694322,berryqu01,0.0,0.0,1,0,0,2,8,1,0,0,0,1,0,1,0,0,0,0,0,31,3,190,73
Christian,Bethancourt,C,-20.8872629822,bethach01,0.225,0.2903225806451613,16,2,12,1,48,155,31,8,0,1,5,33,1,0,0,0,7,24,2,205,74
Chad,Bettis,P,-30.4401680139,bettich01,0.18181818181818182,0.06896551724137931,2,0,1,0,20,29,2,0,0,0,4,13,0,0,0,0,0,26,2,200,73
Chad,Billingsley,P,-29.8250989856,billich01,0.07692307692307693,0.3076923076923077,2,1,1,0,7,13,1,0,0,0,0,5,0,0,1,0,1,31,9,240,73
Charlie,Blackmon,OF,34.1034799416,blackch02,0.34711964549483015,0.4495114006514658,93,17,58,43,157,614,176,31,9,13,46,112,2,13,5,4,4,29,4,210,75
Andres,Blanco,SS,-8.30308498548,blancan01,0.36046511627906974,0.5021459227467812,32,7,25,1,106,233,68,22,3,1,21,44,0,4,3,0,11,31,11,195,70
Gregor,Blanco,OF,6.52097795173,blancgr01,0.3682795698924731,0.41284403669724773,59,5,26,13,115,327,95,19,3,5,40,59,7,2,0,3,3,32,7,175,71
Joe,Blanton,P,-31.6301082871,blantjo01,0.0,0.0,0,0,0,0,21,3,0,0,0,0,0,1,0,0,0,0,0,35,11,215,75
Michael,Blazek,P,-31.6266468182,blazemi01,0.25,0.5,0,0,1,0,45,4,1,1,0,0,0,2,0,0,0,0,0,26,2,205,72
Brennan,Boesch,OF,-28.6363139903,boescbr01,0.19148936170212766,0.20224719101123595,4,1,5,1,51,89,13,2,0,0,4,30,0,1,0,0,0,30,5,225,76
Brian,Bogusevic,OF,-25.0481583701,bogusbr01,0.29508196721311475,0.41379310344827586,9,2,5,2,22,58,15,3,0,0,3,21,0,0,0,0,1,31,5,215,75
