first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
Donovan,Hand,P,0.287884393783,handdo01,0,0,3,-0.0,-0.3333333333333333,1,2.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,29,2,235,75
J. A.,Happ,P,6.55608469699,happja01,7,0,69,-1.85,-0.34210526315789475,1,52.0,13.0,190.0,0.0,1.0,2.0,11.0,11.0,0.0,0.0,13.0,3.0,2.0,0.0,249.0,0.0,13.0,33,8,205,77
Aaron,Harang,P,10.3097222748,haranaa01,6,0,108,-4.86,-0.46421663442940037,1,189.0,51.0,517.0,6.0,3.0,15.0,29.0,29.0,0.0,0.0,93.0,26.0,4.0,0.0,748.0,0.0,100.0,37,13,260,79
Dan,Haren,P,8.38022430245,harenda01,7,0,88,-3.42,-0.3643410852713178,1,116.0,25.0,387.0,7.0,1.0,7.0,21.0,21.0,0.0,0.0,49.0,21.0,2.0,0.0,524.0,0.0,50.0,35,12,215,77
Dan,Haren,P,4.18665473459,harenda01,4,0,44,-4.01,-0.4057142857142857,1,58.0,13.0,175.0,1.0,1.0,2.0,11.0,11.0,0.0,0.0,26.0,10.0,3.0,0.0,244.0,0.0,29.0,35,12,215,77
Mitch,Harris,P,1.42252164421,harrimi03,2,0,15,-3.67,-0.5308641975308642,1,30.0,13.0,81.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,11.0,4.0,2.0,0.0,122.0,7.0,14.0,30,0,215,76
Matt,Harvey,P,17.9191619915,harvema01,13,0,188,-2.71,-0.3397887323943662,1,156.0,37.0,568.0,5.0,2.0,8.0,29.0,29.0,0.0,0.0,57.0,18.0,4.0,0.0,755.0,0.0,62.0,26,3,215,76
Chris,Hatcher,P,7.40141841043,hatchch02,3,4,45,-3.69,-0.41025641025641024,1,35.0,13.0,117.0,3.0,2.0,5.0,49.0,0.0,0.0,0.0,16.0,4.0,3.0,0.0,166.0,12.0,19.0,30,5,200,73
Marcus,Hatley,P,0.191922929189,hatlema01,0,0,2,-0.0,-0.75,1,1.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,27,0,220,77
LaTroy,Hawkins,P,3.45706216164,hawkila01,2,2,20,-3.63,-0.3880597014925373,1,22.0,4.0,67.0,0.0,1.0,1.0,24.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,89.0,11.0,9.0,43,20,220,77
Jeremy,Hellickson,P,11.5286807857,hellije01,9,0,121,-4.62,-0.4429223744292237,1,151.0,43.0,438.0,6.0,3.0,12.0,27.0,27.0,0.0,0.0,75.0,22.0,5.0,0.0,636.0,0.0,79.0,28,5,190,73
Kyle,Hendricks,P,15.9520052122,hendrky01,8,0,167,-3.95,-0.387037037037037,1,166.0,43.0,540.0,8.0,1.0,7.0,32.0,32.0,1.0,1.0,79.0,17.0,3.0,1.0,739.0,0.0,82.0,26,1,190,75
David,Hernandez,P,3.15963581106,hernada01,1,0,33,-4.28,-0.43564356435643564,1,33.0,11.0,101.0,3.0,0.0,5.0,40.0,0.0,0.0,0.0,16.0,6.0,1.0,0.0,144.0,7.0,18.0,30,6,245,75
Keith,Hessler,P,1.15599641507,hesslke01,0,0,12,-8.03,-0.5405405405405406,1,16.0,4.0,37.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,57.0,1.0,11.0,26,0,215,76
Chris,Heston,P,13.4191307815,hestoch01,12,0,141,-3.95,-0.4371482176360225,1,169.0,64.0,533.0,13.0,3.0,11.0,31.0,31.0,2.0,1.0,78.0,16.0,5.0,1.0,746.0,0.0,82.0,27,1,195,75
Taylor,Hill,P,0.865735454047,hillta01,0,0,9,-3.75,-0.5,1,14.0,4.0,36.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,51.0,4.0,5.0,26,1,230,75
Dalier,Hinojosa,P,1.99668569362,hinojda01,2,0,21,-0.78,-0.3333333333333333,1,15.0,8.0,69.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,93.0,4.0,3.0,29,0,230,73
David,Holmberg,P,1.43418405925,holmbda01,1,0,15,-7.62,-0.611764705882353,1,36.0,16.0,85.0,2.0,0.0,4.0,6.0,6.0,0.0,0.0,24.0,10.0,1.0,0.0,136.0,0.0,24.0,24,2,245,75
J. J.,Hoover,P,5.69325366104,hoovejj01,8,1,52,-2.94,-0.38860103626943004,1,44.0,31.0,193.0,2.0,1.0,2.0,67.0,0.0,0.0,0.0,21.0,7.0,3.0,0.0,264.0,12.0,24.0,28,3,245,75
Adrian,Houser,P,0.0,housead01,0,0,0,-0.0,-0.5,1,1.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,22,0,230,76
J. P.,Howell,P,4.4638543351,howeljp01,6,1,39,-1.43,-0.4621212121212121,1,47.0,14.0,132.0,2.0,1.0,1.0,65.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,190.0,18.0,9.0,32,10,180,72
Daniel,Hudson,P,9.88704179845,hudsoda01,4,4,71,-3.86,-0.43842364532019706,1,64.0,25.0,203.0,0.0,2.0,3.0,64.0,1.0,0.0,0.0,29.0,7.0,5.0,0.0,290.0,13.0,34.0,28,6,235,75
Tim,Hudson,P,6.06824644257,hudsoti01,8,0,64,-4.44,-0.4609164420485175,1,134.0,37.0,371.0,7.0,1.0,9.0,24.0,22.0,0.0,0.0,61.0,13.0,4.0,0.0,525.0,0.0,62.0,40,16,175,73
David,Huff,P,0.388843312854,huffda01,0,0,4,-9.0,-0.6666666666666666,1,11.0,1.0,18.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,30.0,1.0,6.0,31,6,210,73
Jared,Hughes,P,3.42747148382,hugheja02,3,0,36,-2.28,-0.4427860696517413,1,70.0,19.0,201.0,7.0,2.0,1.0,76.0,0.0,0.0,0.0,17.0,3.0,3.0,0.0,284.0,11.0,21.0,30,4,245,79
Tommy,Hunter,P,2.20104876142,hunteto02,2,1,15,-5.74,-0.48936170212765956,1,20.0,3.0,47.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,69.0,5.0,10.0,29,7,250,75
